,artist,Date,Genre,Source,Style,Title,new_filename,Content,Type,Gender,,,,
14470,Joshua Reynolds,1761,portrait,wikiart,Rococo,"Georgiana, Countess Spencer, and Her Daughter",100149.jpg,woman and child,outdoor portrait,man,,,,
75319,Joshua Reynolds,1762,portrait,wikiart,Rococo,Henri Fane with His Guardians,100759.jpg,group of men,outdoor portrait,man,,,represented people,nb of occurences
1229,Agnolo Bronzino,1532,portrait,wikiart,Mannerism (Late Renaissance),Portrait of Guidubaldo della Rovere,100883.jpg,single man,indoor portrait,man,,,woman and child,1
30894,Francisco Goya,1795,portrait,wikiart,Romanticism,"Duchess of Alba, The White Duchess",100990.jpg,single woman,outdoor portrait,man,,,group of men,1
19549,Titian,1538,portrait,wikiart,High Renaissance,Portrait of Eleonora Gonzaga,100999.jpg,single woman,indoor portrait,man,,,single man,29
71007,Francisco Goya,1788,portrait,wikiart,Romanticism,Charles III,101628.jpg,single man,hunting,man,,,single woman,23
38721,Francisco Goya,1786,portrait,wikiart,Romanticism,Marquesa Mariana de Pontejos,102781.jpg,single woman,outdoor portrait,man,,,child,12
69691,Anthony van Dyck,1623,portrait,wikiart,Baroque,"Portrait of Filippo Cattaneo, Son of Marchesa Elena Grimaldi",1068.jpg,child,indoor portrait,man,,,man and cherubin,1
18265,Titian,1552,portrait,wikiart,Mannerism (Late Renaissance),Man in Military Costume,11018.jpg,man and cherubin,outdoor portrait,man,,,woman,1
68512,Joshua Reynolds,1766,portrait,wikiart,Rococo,Lady Charles Spencer,12360.jpg,woman,outdoor portrait,man,,,family,9
64897,Joshua Reynolds,1778,portrait,wikipedia,Rococo,The Marlborough Family,13197.jpg,family,indoor portrait,man,,,children,3
46524,Francisco Goya,1799,portrait,wikiart,Romanticism,King Carlos IV in Hunting Costume,14942.jpg,single man,hunting,man,,,mounted man,1
19061,Lucas Cranach the Elder,1514,portrait,wikiart,Northern Renaissance,Portrait of duchess Katharina von Mecklenburg,15371.jpg,single woman,indoor portrait,man,,,two women,2
84674,Anthony van Dyck,1637,portrait,wikiart,Baroque,The five eldest children of Charles I,16478.jpg,children,indoor portrait,man,,,couple,6
11727,Antoine Pesne,1728,portrait,wikipedia,Rococo,Anna Karolina Orzelska,16983.jpg,single woman,outdoor portrait,man,,,two men,1
20214,Sofonisba Anguissola,1590,portrait,wikiart,Mannerism (Late Renaissance),Three children with dog,17965.jpg,children,indoor portrait,woman,,,two children,6
44701,Benjamin West,1775,portrait,wikiart,Rococo,Portrait Of Raphael West And Benjamin West Jr.,19276.jpg,children,indoor portrait,man,,,boy,3
3464,Titian,1542,portrait,wikiart,Mannerism (Late Renaissance),Clarice Strozzi,21090.jpg,child,indoor portrait,man,,,moutned man,1
68215,Joseph Wright,1780,portrait,wikiart,Rococo,Portrait of a Girl in a Tawny Colored Dress,21702.jpg,single woman,outdoor portrait,man,,,three women,1
75475,Thomas Gainsborough,1781,portrait,wikiart,Rococo,Mrs. Mary Robinson ('Perdita'),22686.jpg,single woman,outdoor portrait,man,,,woman with cherubins,1
77962,Sebastien Bourdon,1653,portrait,wikiart,Baroque,"Equestrian portrait of Christina, Queen of Sweden",23473.jpg,mounted man,hunting,man,,,,
26144,Thomas Gainsborough,1767,portrait,wikiart,Rococo,"Portrait of George Venables Vernon, 2nd Lord Vernon",24005.jpg,single man,outdoor portrait,man,,,,
65288,John Hoppner,1795,portrait,wikiart,Romanticism,The Frankland Sisters,2553.jpg,two women,outdoor portrait,man,,,,
71306,Joseph Wright,1750,portrait,wikiart,Rococo,Boy with Plumed Hat and Greyhound,26140.jpg,child,outdoor portrait,man,,,,
69035,Bartolome Esteban Murillo,1660,portrait,wikiart,Baroque,Portrait of Andres de Andrade-i-la Col,26198.jpg,single man,indoor portrait,man,,,,
33178,Joshua Reynolds,1780,portrait,wikiart,Rococo,Lady Delm and her Children,272.jpg,family,outdoor portrait,man,,,,
63823,Joseph Wright,1786,portrait,wikiart,Rococo,Thomas Gisborne and His Wife Mary,27251.jpg,couple,outdoor portrait,man,,,,
49951,Benjamin West,1779,portrait,wikiart,Rococo,"Portrait of Queen Charlotte of the United Kingdom, with Windsor and the royal family in the background",28115.jpg,single woman,indoor portrait,man,,,,
6381,Antoine Pesne,1707,portrait,wikiart,Baroque,"Ernst Friedrich Baron of the Inn and Knyphausen, Royal Prussian Minister",28271.jpg,two men,indoor portrait,man,,,,
3366,Lucas Cranach the Elder,1502,portrait,wikiart,Northern Renaissance,Portrait of Anna Cuspinian,28454.jpg,single woman,outdoor portrait,man,,,,
30411,Diego Velazquez,1659,portrait,wikipedia,Baroque,"Prince Philip Prosper, Son of Philip IV",29476.jpg,child,indoor portrait,man,,,,
38554,Agnolo Bronzino,1534,portrait,wikiart,Mannerism (Late Renaissance),Portrait of a Lady with a Puppy,3152.jpg,single woman,indoor portrait,man,,,,
29360,Thomas Gainsborough,1762,portrait,wikiart,Rococo,William Poyntz of Midgham and his Dog Amber,32234.jpg,single man,hunting,man,,,,
2574,Jacob Jordaens,1639,portrait,wikiart,Baroque,Govaert van Surpele and his wife,33770.jpg,couple,indoor portrait,man,,,,
6410,Antoine Pesne,1754,portrait,wikipedia,Rococo,Self-portrait with Daughters,35645.jpg,family,indoor portrait,man,,,,
68247,Anthony van Dyck,1632,portrait,wikiart,Baroque,Prince Rupert von der Pfalz,37158.jpg,child,indoor portrait,man,,,,
35434,Lavinia Fontana,1595,portrait,wikipedia,Mannerism (Late Renaissance),Portrait of Ginevra Aldrovandi Hercolani,37898.jpg,single woman,indoor portrait,woman,,,,
59750,William Williams,1773,portrait,wikiart,Rococo,Roger Pocklington,39918.jpg,single man,hunting,man,,,,
62339,George Romney,1793,portrait,wikiart,Rococo,"Anna Maria Hunt (c.1771_1861), the Honourable Mrs Charles Agar Bagenal",41442.jpg,single woman,outdoor portrait,man,,,,
